Class_ID,train,val,test,Total
1356075,242,70,35,347
1356078,303,86,44,433
1356079,357,102,51,510
1356081,97,28,14,139
1356082,302,86,44,432
1356083,140,40,20,200
1356084,261,74,38,373
1356086,224,64,33,321
1356089,154,44,23,221
1356091,318,91,46,455
1356094,360,103,52,515
1356095,274,78,40,392
1356105,289,83,42,414
1356106,234,67,34,335
1356107,216,62,31,309
1356108,284,81,41,406
1356109,323,92,47,462
1356111,242,70,35,347
1356115,278,80,40,398
1356117,256,73,37,366
1356118,287,82,41,410
1356123,304,87,44,435
1356126,240,69,35,344
1356129,165,47,24,236
1356133,246,70,36,352
1356134,348,100,50,498
1356136,236,68,34,338
1356141,121,34,18,173
1356144,287,82,41,410
1356145,203,58,29,290
1356147,178,51,26,255
1356149,280,80,40,400
1356150,181,52,26,259
1356153,286,82,41,409
1356154,224,64,32,320
1356158,326,94,47,467
1356159,230,67,33,330
1356160,166,48,24,238
1356162,272,78,39,389
1356167,348,100,50,498
1356168,294,84,42,420
1356169,168,48,24,240
1356171,306,88,44,438
1356180,228,65,33,326
1356200,361,103,52,516
1356201,259,74,38,371
1356204,134,38,20,192
1356208,411,118,59,588
1356209,270,77,39,386
1356211,198,57,29,284
1356214,229,66,33,328
1356215,240,69,35,344
1356217,355,102,51,508
1356228,179,51,26,256
1356229,258,74,37,369
1356233,31,9,5,45
1356240,289,82,42,413
1356245,182,52,27,261
1356257,318,91,46,455
1356268,350,100,50,500
1356271,107,31,16,154
1356275,141,40,21,202
1356276,347,99,50,496
1356277,241,69,35,345
1356278,259,74,38,371
1356281,141,40,21,202
1356282,352,101,51,504
1356284,288,82,42,412
1356286,292,84,42,418
1356290,442,126,64,632
1356294,219,62,32,313
1356295,313,90,45,448
1356296,161,46,23,230
1356297,170,48,25,243
1356300,227,65,33,325
1356301,30,9,5,44
1356303,304,87,44,435
1356304,212,60,31,303
1356305,252,72,37,361
1356306,51,14,8,73
1356307,149,43,22,214
1356308,434,124,62,620
1356310,230,67,33,330
1356314,290,83,42,415
1356317,190,54,28,272
1356318,163,46,24,233
1356320,348,100,50,498
1356321,186,53,27,266
1356323,211,60,31,302
1356324,91,26,13,130
1356325,7,2,1,10
1356328,261,74,38,373
1356330,270,77,39,386
1356331,193,56,28,277
1356333,302,86,44,432
1356337,156,45,23,224
1356341,205,59,30,294
1356345,183,52,27,262
1356346,167,48,24,239
1356348,130,37,19,186
1356349,2,1,1,4
1356350,179,52,26,257
1356352,142,40,21,203
1356353,169,48,25,242
1356355,211,60,31,302
1356356,77,22,12,111
1356357,287,82,42,411
1356359,160,46,23,229
1356361,232,66,34,332
1356362,156,45,23,224
1356364,250,72,36,358
1356365,58,16,9,83
1356367,154,44,23,221
1356368,149,43,22,214
1356369,109,32,16,157
1356370,118,34,17,169
1356371,114,32,17,163
1356373,175,50,25,250
1356375,91,26,13,130
1356376,128,36,19,183
1356379,137,39,20,196
1356382,324,92,47,463
1356383,116,33,17,166
1356385,57,16,9,82
1356387,148,42,22,212
1356390,151,43,22,216
1356394,351,100,51,502
1356395,212,61,31,304
1356396,308,88,44,440
1356397,268,77,39,384
1356398,322,92,47,461
1356399,146,42,21,209
1356400,152,44,22,218
1356401,143,41,21,205
1356402,94,27,14,135
1356404,198,56,29,283
1356405,35,10,6,51
1356407,6,2,1,9
1356417,110,32,16,158
1356418,29,8,5,42
1356419,7,2,2,11
1356421,121,34,18,173
1356422,220,63,32,315
1356424,120,34,18,172
1356427,147,42,22,211
1356428,280,80,41,401
1356431,185,53,27,265
1356432,177,50,26,253
1356433,281,80,41,402
1356435,97,28,14,139
1356436,116,34,17,167
1356439,95,28,14,137
1356440,153,44,22,219
1356442,151,43,22,216
1356448,317,91,46,454
1356455,428,122,62,612
1356456,77,22,11,110
1356457,386,110,56,552
1356458,419,120,60,599
1356460,381,109,55,545
1356461,171,49,25,245
1356464,368,106,53,527
1356469,225,64,33,322
1356471,138,40,20,198
1356472,224,64,32,320
1356474,34,10,5,49
1356475,284,81,41,406
1356476,350,100,51,501
1356488,270,78,39,387
1356489,173,50,25,248
1356494,151,43,22,216
1356497,23,6,4,33
1356500,174,50,25,249
1356502,201,58,29,288
1356510,39,12,6,57
1356515,85,24,13,122
1356521,123,36,18,177
1356528,142,40,21,203
1356538,215,62,31,308
1356552,42,12,7,61
1356557,42,12,6,60
1356559,46,13,7,66
1356560,11,4,2,17
1356562,136,39,20,195
1356564,145,42,21,208
1356567,406,116,59,581
1356568,174,50,25,249
1356570,367,105,53,525
1356571,310,88,45,443
1356574,202,58,29,289
1356575,239,68,35,342
1356576,417,120,60,597
1356581,4,1,1,6
1356583,219,63,32,314
1356587,147,42,21,210
1356588,230,66,33,329
1356589,137,40,20,197
1356591,185,53,27,265
1356595,229,66,33,328
1356596,169,48,25,242
1356597,295,84,43,422
1356598,153,44,22,219
1356599,160,46,23,229
1356603,354,101,51,506
1356608,400,114,58,572
1356609,429,122,62,613
1356611,134,38,20,192
1356615,94,27,14,135
1356617,94,27,14,135
1356619,154,44,23,221
1356623,165,48,24,237
1356629,199,57,29,285
1356633,79,22,12,113
1356634,294,84,42,420
1356635,39,12,6,57
1356646,207,60,30,297
1356648,81,24,12,117
1356654,186,53,27,266
1356656,44,12,7,63
1356657,151,43,22,216
1356663,284,81,41,406
1356669,179,52,26,257
1356672,273,78,39,390
1356674,210,60,31,301
1356682,115,33,17,165
1356687,17,5,3,25
1356691,160,46,23,229
1356692,226,64,33,323
1356697,273,78,40,391
1356703,12,4,2,18
1356704,114,32,17,163
1356706,96,28,14,138
1356708,4,2,1,7
1356709,232,66,34,332
1356711,53,16,8,77
1356715,53,15,8,76
1356718,49,14,7,70
1356719,134,38,20,192
1356728,130,37,19,186
1356729,445,127,64,636
1356732,263,75,38,376
1356733,182,52,27,261
1356736,4,2,1,7
1356741,40,12,6,58
1356747,91,26,13,130
1356749,70,20,11,101
1356752,251,72,36,359
1356757,282,80,41,403
1356764,135,39,20,194
1356765,6,2,1,9
1356766,259,74,37,370
1356768,151,44,22,217
1356770,181,52,26,259
1356771,137,39,20,196
1356772,111,32,16,159
1356775,37,11,6,54
1356778,185,53,27,265
1356780,254,72,37,363
1356781,364,104,53,521
1356782,30,8,5,43
1356784,310,89,45,444
1356785,303,87,44,434
1356786,354,102,51,507
1356790,344,98,50,492
1356791,170,49,25,244
1356792,382,110,55,547
1356793,430,123,62,615
1356794,109,31,16,156
1356795,2,0,1,3
1356796,9,3,2,14
1356798,4,2,1,7
1356799,103,30,15,148
1356800,7,2,2,11
1356802,8,2,2,12
1356803,322,92,46,460
1356804,218,62,32,312
1356811,4,2,1,7
1356814,1,0,1,2
1356817,229,66,33,328
1356821,37,10,6,53
1356822,168,48,25,241
1356825,37,10,6,53
1356830,18,5,3,26
1356832,2,1,1,4
1356833,135,38,20,193
1356834,67,20,10,97
1356835,158,46,23,227
1356836,7,2,1,10
1356839,162,46,24,232
1356840,84,24,13,121
1356841,7,2,2,11
1356843,227,65,33,325
1356845,5,2,1,8
1356852,195,56,28,279
1356853,72,21,11,104
1356857,212,61,31,304
1356858,37,10,6,53
1356863,21,6,4,31
1356866,74,22,11,107
1356871,203,58,29,290
1356873,147,42,22,211
1356874,156,45,23,224
1356882,154,44,22,220
1356883,152,44,22,218
1356884,21,6,3,30
1356891,9,3,2,14
1356901,172,50,25,247
1356902,17,5,3,25
1356903,43,12,7,62
1356904,9,2,2,13
1356905,223,64,32,319
1356907,119,34,18,171
1356910,23,6,4,33
1356914,39,11,6,56
1356919,157,45,23,225
1356939,227,65,33,325
1356942,227,65,33,325
1356946,55,16,8,79
1356947,168,48,25,241
1356950,6,2,1,9
1356951,17,5,3,25
1356952,70,20,11,101
1356963,77,22,11,110
1356967,11,3,2,16
1356975,184,52,27,263
1356976,137,40,20,197
1356978,31,9,5,45
1356979,262,75,38,375
1356981,58,16,9,83
1356984,165,47,24,236
1356985,322,92,47,461
1356987,25,7,4,36
1356992,66,19,10,95
1357003,4,2,1,7
1357004,262,75,38,375
1357009,351,100,51,502
1357011,137,40,20,197
1357019,14,4,3,21
1357021,35,10,6,51
1357023,158,46,23,227
1357025,137,39,20,196
1357026,277,80,40,397
1357028,4,1,1,6
1357031,103,30,15,148
1357033,55,16,8,79
1357035,33,10,5,48
1357043,140,40,20,200
1357044,14,4,2,20
1357045,140,40,21,201
1357046,120,34,18,172
1357048,10,3,2,15
1357049,99,28,15,142
1357050,9,2,2,13
1357059,304,87,44,435
1357060,159,46,23,228
1357061,40,12,6,58
1357068,51,14,8,73
1357069,22,6,4,32
1357070,200,58,29,287
1357072,20,6,3,29
1357080,163,46,24,233
1357081,37,10,6,53
1357085,88,25,13,126
1357093,102,30,15,147
1357095,125,37,18,180
1357096,313,90,45,448
1357098,170,49,25,244
1357099,261,75,38,374
1357100,203,58,30,291
1357102,12,4,2,18
1357103,277,79,40,396
1357104,277,79,40,396
1357105,310,88,45,443
1357109,172,50,25,247
1357111,303,86,44,433
1357114,277,80,40,397
1357116,25,7,4,36
1357117,135,39,20,194
1357118,92,26,14,132
1357120,202,58,29,289
1357121,41,12,6,59
1357122,161,46,23,230
1357123,96,28,14,138
1357124,154,44,22,220
1357125,2,0,1,3
1357126,239,68,35,342
1357129,98,28,14,140
1357130,167,48,24,239
1357133,27,8,4,39
1357142,174,50,25,249
1357143,7,2,2,11
1357144,120,34,18,172
1357148,266,76,39,381
1357150,33,10,5,48
1357157,136,39,20,195
1357159,7,2,2,11
1357170,135,38,20,193
1357172,2,1,1,4
1357175,3,1,1,5
1357176,236,68,34,338
1357182,153,44,22,219
1357185,144,41,21,206
1357187,182,52,26,260
1357189,4,1,1,6
1357192,26,8,4,38
1357198,187,54,27,268
1357201,37,10,6,53
1357207,258,74,37,369
1357212,173,50,25,248
1357220,96,28,14,138
1357227,227,65,33,325
1357236,70,20,11,101
1357244,357,102,51,510
1357268,259,74,37,370
1357269,163,46,24,233
1357274,42,12,6,60
1357275,266,76,39,381
1357277,149,42,22,213
1357285,182,52,27,261
1357289,148,42,22,212
1357291,251,73,36,360
1357293,154,44,23,221
1357303,167,48,24,239
1357314,222,64,32,318
1357316,16,5,3,24
1357317,264,76,38,378
1357320,221,63,32,316
1357321,204,58,30,292
1357325,183,52,27,262
1357330,302,86,44,432
1357332,170,48,25,243
1357335,1,0,1,2
1357338,17,5,3,25
1357340,32,10,5,47
1357347,16,5,3,24
1357350,268,76,39,383
1357351,287,82,41,410
1357358,180,52,26,258
1357360,99,28,15,142
1357361,169,48,25,242
1357365,23,6,4,33
1357367,97,28,14,139
1357379,265,76,38,379
1357384,22,6,4,32
1357392,266,76,39,381
1357394,36,10,6,52
1357401,285,82,41,408
1357404,164,47,24,235
1357405,16,4,3,23
1357412,89,26,13,128
1357413,382,109,55,546
1357416,438,125,63,626
1357417,30,8,5,43
1357425,56,16,9,81
1357427,35,10,5,50
1357432,30,9,5,44
1357437,117,34,17,168
1357438,308,88,44,440
1357441,16,5,3,24
1357443,15,4,3,22
1357445,121,35,18,174
1357446,4,2,1,7
1357447,28,8,5,41
1357448,179,52,26,257
1357450,2,0,1,3
1357453,160,46,23,229
1357454,112,32,16,160
1357455,141,40,21,202
1357456,166,48,24,238
1357457,45,13,7,65
1357459,185,53,27,265
1357464,113,32,17,162
1357465,205,59,30,294
1357474,101,29,15,145
1357486,112,32,17,161
1357492,324,92,47,463
1357495,338,97,49,484
1357496,118,34,17,169
1357497,106,30,16,152
1357499,51,14,8,73
1357502,16,5,3,24
1357507,11,3,2,16
1357508,62,18,9,89
1357509,11,4,2,17
1357511,48,14,7,69
1357514,127,36,19,182
1357521,191,55,28,274
1357526,228,65,33,326
1357538,134,38,20,192
1357542,194,56,28,278
1357543,7,2,1,10
1357546,243,70,35,348
1357549,261,75,38,374
1357550,127,36,19,182
1357553,21,6,3,30
1357556,183,52,27,262
1357558,51,15,8,74
1357560,333,96,48,477
1357561,163,47,24,234
1357566,139,40,20,199
1357568,262,75,38,375
1357574,184,53,27,264
1357575,47,14,7,68
1357577,58,17,9,84
1357581,11,3,2,16
1357584,1,0,1,2
1357588,106,30,16,152
1357589,2,0,1,3
1357590,1,0,1,2
1357593,181,52,26,259
1357594,196,56,28,280
1357595,2,0,1,3
1357596,23,7,4,34
1357598,263,75,38,376
1357599,274,78,40,392
1357603,232,66,34,332
1357608,227,65,33,325
1357617,296,85,43,424
1357630,308,88,44,440
1357634,37,11,6,54
1357635,361,104,52,517
1357643,182,52,26,260
1357645,18,6,3,27
1357646,11,3,2,16
1357651,6,2,1,9
1357652,221,63,32,316
1357653,58,17,9,84
1357654,116,34,17,167
1357662,8,2,2,12
1357663,138,40,20,198
1357670,124,36,18,178
1357671,77,22,12,111
1357672,132,38,19,189
1357673,70,20,10,100
1357675,46,13,7,66
1357681,165,48,24,237
1357682,120,34,18,172
1357686,84,24,12,120
1357687,67,20,10,97
1357690,26,8,4,38
1357697,294,84,42,420
1357700,194,56,28,278
1357702,121,35,18,174
1357705,261,75,38,374
1357711,249,72,36,357
1357713,9,2,2,13
1357715,151,44,22,217
1357722,177,50,26,253
1357723,326,94,47,467
1357724,86,24,13,123
1357734,90,26,13,129
1357736,147,42,21,210
1357739,2,0,1,3
1357742,232,66,34,332
1357743,251,73,36,360
1357769,197,56,29,282
1357770,237,69,34,340
1357771,219,62,32,313
1357773,192,55,28,275
1357783,22,6,4,32
1357792,39,11,6,56
1357799,272,78,39,389
1357805,178,51,26,255
1357806,6,2,1,9
1357809,191,54,28,273
1357812,144,41,21,206
1357815,259,74,38,371
1357816,151,43,22,216
1357817,152,44,22,218
1357821,29,8,5,42
1357844,48,14,7,69
1357847,129,37,19,185
1357848,259,74,37,370
1357849,103,30,15,148
1357861,131,38,19,188
1357862,167,48,24,239
1357864,9,2,2,13
1357867,242,70,35,347
1357868,229,66,33,328
1357870,192,55,28,275
1357871,49,14,8,71
1357872,311,89,45,445
1357875,357,102,52,511
1357904,2,1,1,4
1357911,285,82,41,408
1357915,15,4,3,22
1357928,44,13,7,64
1357931,25,7,4,36
1357934,152,44,22,218
1357945,112,32,17,161
1357947,103,30,15,148
1357950,351,100,51,502
1357951,193,55,28,276
1357953,217,62,31,310
1357962,173,50,25,248
1357964,150,43,22,215
1357966,184,52,27,263
1357968,227,65,33,325
1357970,163,47,24,234
1357979,10,3,2,15
1357980,139,40,20,199
1357981,142,40,21,203
1357986,31,9,5,45
1357988,42,12,6,60
1357992,173,50,25,248
1357997,168,48,24,240
1357998,259,74,37,370
1357999,20,6,3,29
1358003,238,68,35,341
1358004,130,38,19,187
1358009,25,7,4,36
1358010,123,36,18,177
1358011,17,5,3,25
1358012,2,0,1,3
1358019,186,53,27,266
1358024,295,84,43,422
1358026,289,82,42,413
1358038,198,56,29,283
1358062,147,42,21,210
1358071,172,49,25,246
1358093,9,2,2,13
1358094,249,71,36,356
1358095,282,81,41,404
1358097,161,46,23,230
1358099,197,56,29,282
1358101,162,46,24,232
1358103,174,50,25,249
1358105,242,69,35,346
1358111,113,32,17,162
1358112,198,57,29,284
1358113,229,66,33,328
1358119,110,32,16,158
1358123,5,2,1,8
1358125,116,34,17,167
1358126,249,71,36,356
1358127,85,24,13,122
1358128,5,2,1,8
1358132,165,47,24,236
1358134,310,89,45,444
1358140,294,84,42,420
1358142,25,8,4,37
1358147,287,82,42,411
1358151,256,73,37,366
1358157,33,10,5,48
1358163,16,5,3,24
1358164,177,50,26,253
1358167,165,47,24,236
1358171,250,72,36,358
1358173,21,6,4,31
1358176,177,50,26,253
1358182,147,42,22,211
1358185,137,39,20,196
1358186,2,0,1,3
1358187,5,2,1,8
1358194,125,36,18,179
1358196,151,43,22,216
1358197,51,15,8,74
1358203,308,88,44,440
1358204,254,72,37,363
1358206,153,44,22,219
1358207,174,50,25,249
1358212,109,31,16,156
1358213,259,74,38,371
1358214,161,46,24,231
1358217,75,22,11,108
1358219,159,46,23,228
1358222,141,40,21,202
1358226,81,23,12,116
1358250,100,29,15,144
1358255,15,4,3,22
1358257,301,86,44,431
1358259,28,8,5,41
1358260,65,19,10,94
1358261,28,8,5,41
1358262,21,6,4,31
1358263,2,0,1,3
1358264,95,28,14,137
1358271,10,3,2,15
1358289,217,62,31,310
1358291,93,27,14,134
1358293,11,4,2,17
1358295,141,40,21,202
1358302,184,53,27,264
1358316,119,34,18,171
1358318,219,62,32,313
1358320,175,50,26,251
1358321,92,26,14,132
1358322,210,60,30,300
1358325,107,30,16,153
1358326,11,4,2,17
1358327,23,6,4,33
1358330,72,20,11,103
1358333,208,60,30,298
1358334,107,31,16,154
1358335,251,73,36,360
1358340,298,86,43,427
1358347,277,79,40,396
1358349,229,66,33,328
1358350,154,44,23,221
1358351,169,48,25,242
1358352,184,52,27,263
1358355,170,48,25,243
1358357,176,50,26,252
1358358,62,19,9,90
1358363,36,10,6,52
1358375,25,8,4,37
1358379,166,48,24,238
1358380,23,6,4,33
1358386,221,63,32,316
1358392,12,4,2,18
1358394,118,35,17,170
1358413,218,62,32,312
1358416,247,70,36,353
1358424,2,1,1,4
1358426,86,24,13,123
1358427,133,38,20,191
1358428,201,58,29,288
1358429,23,6,4,33
1358432,13,4,2,19
1358434,66,19,10,95
1358443,32,10,5,47
1358446,328,94,47,469
1358453,58,17,9,84
1358454,352,101,51,504
1358459,22,6,4,32
1358460,172,49,25,246
1358463,135,39,20,194
1358468,93,27,14,134
1358469,212,60,31,303
1358477,108,31,16,155
1358478,202,58,29,289
1358480,16,4,3,23
1358491,263,75,38,376
1358492,107,31,16,154
1358494,355,102,51,508
1358495,49,14,8,71
1358496,23,7,4,34
1358497,24,7,4,35
1358500,443,127,64,634
1358501,294,84,43,421
1358503,348,100,50,498
1358504,137,40,20,197
1358505,221,63,32,316
1358506,198,57,29,284
1358507,249,72,36,357
1358509,239,68,35,342
1358511,227,65,33,325
1358513,107,31,16,154
1358514,149,43,22,214
1358515,210,60,31,301
1358517,262,75,38,375
1358523,4,1,1,6
1358524,39,12,6,57
1358525,311,89,45,445
1358532,97,28,14,139
1358538,10,3,2,15
1358543,424,122,61,607
1358544,21,6,4,31
1358547,5,2,1,8
1358548,281,80,41,402
1358549,16,5,3,24
1358552,214,62,31,307
1358553,170,48,25,243
1358554,6,2,1,9
1358561,163,46,24,233
1358564,205,59,30,294
1358568,7,2,1,10
1358572,240,68,35,343
1358573,154,44,23,221
1358575,32,10,5,47
1358577,157,45,23,225
1358581,204,58,30,292
1358584,38,11,6,55
1358590,254,73,37,364
1358592,224,64,33,321
1358593,33,10,5,48
1358595,211,60,31,302
1358596,7,2,2,11
1358598,25,7,4,36
1358604,56,16,8,80
1358605,277,80,40,397
1358609,355,102,51,508
1358610,446,128,64,638
1358612,131,38,19,188
1358613,404,116,58,578
1358614,297,85,43,425
1358615,159,46,23,228
1358616,276,79,40,395
1358617,348,100,50,498
1358620,153,44,22,219
1358622,245,70,36,351
1358624,242,70,35,347
1358625,149,42,22,213
1358627,169,48,25,242
1358629,30,8,5,43
1358641,92,26,14,132
1358643,281,80,41,402
1358653,193,55,28,276
1358654,305,87,44,436
1358655,65,19,10,94
1358670,9,3,2,14
1358671,221,64,32,317
1358672,120,34,18,172
1358673,9,2,2,13
1358674,266,76,39,381
1358676,15,4,3,22
1358681,182,52,27,261
1358682,304,87,44,435
1358683,187,54,27,268
1358684,354,102,51,507
1358685,138,40,20,198
1358689,311,89,45,445
1358690,84,24,13,121
1358696,81,24,12,117
1358699,209,60,30,299
1358700,201,58,29,288
1358701,200,58,29,287
1358703,177,51,26,254
1358704,160,46,23,229
1358706,244,70,35,349
1358708,32,10,5,47
1358710,228,65,33,326
1358711,125,37,18,180
1358713,391,112,56,559
1358716,221,64,32,317
1358717,200,58,29,287
1358718,271,78,39,388
1358722,275,78,40,393
1358733,187,54,27,268
1358740,128,36,19,183
1358742,310,88,45,443
1358744,154,44,23,221
1358745,214,62,31,307
1358746,289,82,42,413
1358747,239,68,35,342
1358748,154,44,22,220
1358749,144,42,21,207
1358750,168,48,25,241
1358751,235,67,34,336
1358752,311,89,45,445
1358760,163,47,24,234
1358761,154,44,23,221
1358766,292,84,42,418
1358768,259,74,38,371
1358770,306,88,44,438
1358772,54,16,8,78
1358782,163,47,24,234
1358784,287,82,41,410
1358785,234,67,34,335
1358786,112,32,16,160
1358788,268,77,39,384
1358789,304,87,44,435
1358797,159,46,23,228
1358803,23,6,4,33
1358811,18,5,3,26
1358813,74,21,11,106
1358821,154,44,23,221
1358822,30,8,5,43
1358827,216,62,31,309
1358830,2,1,1,4
1358831,2,1,1,4
1358835,109,32,16,157
1358840,7,2,1,10
1358846,340,98,49,487
1358849,67,20,10,97
1358851,212,61,31,304
1358852,212,60,31,303
1358853,186,54,27,267
1358854,221,63,32,316
1358858,163,46,24,233
1358860,172,50,25,247
1358862,6,2,1,9
1358866,206,59,30,295
1358874,8,2,2,12
1358876,240,68,35,343
1358880,4,2,1,7
1358881,178,51,26,255
1358884,164,47,24,235
1358885,137,39,20,196
1358886,119,34,18,171
1358888,7,2,1,10
1358906,176,50,26,252
1358909,34,10,5,49
1358918,157,45,23,225
1358924,11,3,2,16
1358925,209,60,30,299
1358932,172,49,25,246
1358933,11,3,2,16
1358934,13,4,2,19
1358935,37,11,6,54
1358939,189,54,27,270
1358942,65,19,10,94
1358943,11,3,2,16
1358946,169,48,25,242
1358950,342,98,49,489
1358963,195,56,28,279
1358967,4,1,1,6
1358968,174,50,25,249
1358969,237,68,34,339
1358985,207,60,30,297
1358986,250,72,36,358
1358999,62,18,9,89
1359006,229,66,33,328
1359009,242,70,35,347
1359010,173,50,25,248
1359014,6,2,1,9
1359016,28,8,5,41
1359020,329,94,47,470
1359022,1,0,1,2
1359029,212,61,31,304
1359032,11,3,2,16
1359036,137,40,20,197
1359039,56,16,8,80
1359049,37,10,6,53
1359050,25,8,4,37
1359051,161,46,24,231
1359054,4,1,1,6
1359072,121,34,18,173
1359076,144,42,21,207
1359079,230,66,33,329
1359081,223,64,32,319
1359082,196,56,28,280
1359084,7,2,2,11
1359086,221,64,32,317
1359087,16,4,3,23
1359088,21,6,3,30
1359089,48,14,7,69
1359099,144,42,21,207
1359102,42,12,7,61
1359104,4,1,1,6
1359108,58,17,9,84
1359109,89,26,13,128
1359119,74,22,11,107
1359122,101,29,15,145
1359124,247,70,36,353
1359127,147,42,22,211
1359131,18,6,3,27
1359138,247,71,36,354
1359139,171,49,25,245
1359148,135,38,20,193
1359150,14,4,2,20
1359154,174,50,25,249
1359157,4,1,1,6
1359160,449,128,65,642
1359161,246,70,36,352
1359162,436,125,63,624
1359168,246,70,36,352
1359169,229,66,33,328
1359171,57,16,9,82
1359172,304,87,44,435
1359174,11,3,2,16
1359176,57,16,9,82
1359177,81,23,12,116
1359178,47,14,7,68
1359180,1,0,1,2
1359181,247,70,36,353
1359182,226,65,33,324
1359193,145,42,21,208
1359195,210,60,31,301
1359197,255,73,37,365
1359205,210,60,30,300
1359208,189,54,28,271
1359209,201,58,29,288
1359210,132,38,19,189
1359215,4,1,1,6
1359216,345,99,50,494
1359218,76,22,11,109
1359221,111,32,16,159
1359222,177,51,26,254
1359223,49,14,7,70
1359225,4,2,1,7
1359227,137,39,20,196
1359228,2,1,1,4
1359231,161,46,23,230
1359242,28,8,4,40
1359246,137,39,20,196
1359254,46,14,7,67
1359265,20,6,3,29
1359266,230,67,33,330
1359268,240,69,35,344
1359273,11,3,2,16
1359274,213,61,31,305
1359276,178,51,26,255
1359277,105,30,15,150
1359279,184,53,27,264
1359281,28,8,4,40
1359282,116,34,17,167
1359283,150,43,22,215
1359284,220,63,32,315
1359288,153,44,22,219
1359294,13,4,2,19
1359295,34,10,5,49
1359296,312,89,45,446
1359297,243,70,35,348
1359298,205,58,30,293
1359299,35,10,5,50
1359301,168,48,24,240
1359320,196,56,28,280
1359321,233,66,34,333
1359322,277,79,40,396
1359331,193,55,28,276
1359333,244,70,35,349
1359334,84,24,12,120
1359336,61,18,9,88
1359337,18,5,3,26
1359340,27,8,4,39
1359342,174,50,25,249
1359344,237,68,34,339
1359346,39,11,6,56
1359347,153,44,22,219
1359349,42,12,7,61
1359351,76,22,11,109
1359352,9,3,2,14
1359353,3,1,1,5
1359356,142,41,21,204
1359357,30,8,5,43
1359359,59,17,9,85
1359361,59,17,9,85
1359364,115,33,17,165
1359368,137,40,20,197
1359369,27,8,4,39
1359370,37,10,6,53
1359374,144,41,21,206
1359375,2,0,1,3
1359376,24,7,4,35
1359379,38,11,6,55
1359383,16,5,3,24
1359384,23,6,4,33
1359386,4,2,1,7
1359388,1,0,1,2
1359392,137,40,20,197
1359395,18,6,3,27
1359398,205,59,30,294
1359406,6,2,1,9
1359407,1,0,1,2
1359410,241,69,35,345
1359411,62,19,9,90
1359413,239,68,35,342
1359414,27,8,4,39
1359416,20,6,3,29
1359418,4,1,1,6
1359422,121,35,18,174
1359423,167,48,24,239
1359424,163,47,24,234
1359430,16,5,3,24
1359431,252,72,37,361
1359432,16,4,3,23
1359435,135,39,20,194
1359437,100,29,15,144
1359440,119,34,18,171
1359442,245,70,36,351
1359443,193,56,28,277
1359444,170,49,25,244
1359450,291,83,42,416
1359452,243,70,35,348
1359455,95,28,14,137
1359460,89,26,13,128
1359461,24,7,4,35
1359483,281,80,41,402
1359485,298,85,43,426
1359486,178,51,26,255
1359487,17,5,3,25
1359488,255,73,37,365
1359489,177,50,26,253
1359495,93,27,14,134
1359497,191,54,28,273
1359498,244,71,35,350
1359499,37,10,6,53
1359500,27,8,4,39
1359502,156,45,23,224
1359505,44,13,7,64
1359506,131,38,19,188
1359508,196,56,29,281
1359509,5,2,1,8
1359510,147,42,22,211
1359511,172,50,25,247
1359512,11,4,2,17
1359513,58,17,9,84
1359514,75,22,11,108
